source,target,weight
1656,1830,172.76733516138236
1657,1751,39.46061327450449
1657,1789,179.1674914709697
1657,1830,137.16502586660948
1657,1878,185.39879988824092
1658,1752,44.841498636865374
1658,1790,187.00684479451547
1658,1791,156.57984828479331
1659,1706,34.53127406987598
1659,1707,21.88531185521467
1659,1753,114.8997050571594
1659,1793,155.27335394215083
1660,1661,187.4676268349048
1660,1707,193.46724439237195
1660,1754,200.63096650871776
1660,1708,196.29604626119647
1661,1708,17.208008471509874
1661,1662,7.695597587076801
1661,1754,26.835015475224814
1662,1708,24.74590875276154
1662,1709,28.80347201293622
1663,1710,192.96577848589283
1663,1755,208.57446785734658
1663,1756,2.537715508089895
1663,1711,183.5708310162592
1664,1712,157.84406862470317
1664,1713,165.24394845197813
1688,1689,42.57180142587334
1688,1779,29.547532711588687
1688,1780,271.75180002407814
1688,1821,108.30245504469178
1688,1862,93.98007821895456
1689,1690,279.4270372311929
1689,1780,313.64399492984967
1690,1691,99.74482102338774
1690,1781,146.41825884597185
1690,1780,43.836677805094375
1690,1821,145.6612847552266
1690,1822,140.12186054456006
1691,1692,57.489107220234274
1691,1781,60.93615705544936
1692,1781,42.92116519771707
1692,1782,45.96815051400268
1692,1823,110.31814845052024
1692,1866,154.22889165266076
1693,1740,11.19372261673516
1693,1782,54.149660792002095
1694,1741,53.50967340016467
1694,1695,35.04610665732693
1694,1783,38.87269909195756
1694,1696,203.55194711977657
1694,1824,202.4013144518502
1695,1696,197.12841914945605
1695,1783,4.301162633521313
1696,1742,63.15677143250577
1696,1783,195.35649231829765
1696,1825,40.98342853082712
1696,1869,116.39159607275619
1696,1870,167.81312320012944
1697,1742,95.51090688153545
1697,1784,47.91891299082463
1698,1743,158.12890311388364
1698,1785,62.52591462745667
1699,1743,117.98915204373664
1699,1744,53.00038472737721
1699,1785,53.65389081883998
1699,1873,116.68177164121796
1700,1746,35.45791715384434
1700,1747,39.537755715064655
1700,1827,42.34547070099575
1700,1875,30.672553782747784
1700,1874,95.30884141843953
1700,1918,107.33307453384948
1700,1958,110.44592442558584
1701,1749,20.41941186597646
1701,1702,44.59322320213639
1701,1786,44.85780001540672
1701,1787,161.81402219145835
1702,1750,68.26520994539524
1702,1786,51.056613457786035
1702,1787,122.44681385083985
1703,1877,58.62646586653506
1703,1878,183.00290298243905
1704,1705,65.00621457894852
1704,1751,49.4369295163039
1704,1831,187.6581525599733
1704,1924,7.925626508709285
1705,1790,58.804427224121696
1705,1832,34.18318823817817
1705,1924,72.0612145398272
1705,1964,53.95308338372859
1706,1752,10.434983894999016
1706,1753,114.4712482096123
1707,1754,31.58704353757161
1707,1793,135.36259818026215
1707,1880,81.01494846631701
1707,1881,58.59137865571844
1708,1709,6.782329983125269
1708,1754,30.48059947646117
1708,1794,16.562977456430417
1709,1710,11.539714034585085
1709,1794,10.88173801477606
1709,1755,37.03612517396
1709,1834,27.692678535028783
1709,1835,78.86501125340692
1710,1755,30.946613728073185
1711,1756,182.92536729497087
1711,1712,17.507141400011598
1712,1756,194.00538652315817
1712,1713,17.50892629489313
1712,1795,196.56989144378704
1713,1795,206.33718695916696
1713,1796,32.855935536824994
1713,1837,206.82744921794108
1714,1715,57.85243680645133
1714,1796,96.06184350603404
1714,1797,253.73115693584026
1715,1716,52.762593283499626
1715,1797,311.50488492691943
1715,1839,135.8159048123599
1716,1798,18.266217637762985
1716,1839,87.14230459426696
1716,1885,98.46271502452082
1716,1929,87.2634301984514
1740,1741,159.91304858133358
1740,1782,46.603875394800156
1740,1867,10.694558558745655
1740,1868,191.3576923980567
1741,1783,31.289863463357523
1741,1868,37.6751465380915
1741,1824,163.50239974453652
1741,1912,160.28719710430883
1742,1784,121.57530816557923
1742,1870,110.30264553088068
1742,1871,119.97221900645722
1743,1785,132.89672682199514
1744,1745,58.052258096812125
1744,1874,7.0521343883832905
1744,1873,134.16931447956597
1744,2048,207.13541116628943
1744,2049,127.44553064446788
1745,1746,94.0652108321078
1745,1874,59.935402937266765
1746,1874,66.09368351060485
1747,1827,28.073882117421114
1747,1748,31.353807176956927
1747,1875,66.04489814837004
1747,1918,125.35193314367811
1747,1919,34.75264064421625
1747,1958,138.4943062264397
1747,1959,70.41966040409861
1748,1749,6.8153488239294475
1748,1876,4.9713464689443665
1748,1919,46.99027737522363
1749,1786,61.72416881476019
1749,1876,2.263282788250691
1750,1787,128.6421608787553
1750,1788,107.13454158206865
1751,1789,204.12557409594712
1751,1831,200.47561503141029
1752,1791,134.1152075228193
1752,1792,149.42944823561385
1752,1753,121.11381240616429
1753,1792,97.73083216444826
1753,1793,81.86116295289239
1754,1794,38.06801296510119
1754,1881,88.42373518713426
1754,1882,28.263325820217144
1754,1927,149.9416784768146
1754,1969,121.50014288971937
1754,1970,29.084765962804493
1755,1756,207.84702470570116
1755,1834,12.405693635097597
1755,1835,66.52264535989991
1755,1836,28.86187625977508
1755,1883,83.79344966517445
1756,1795,28.754342667190674
1756,1836,186.73146494364573
1779,1861,22.729903785038275
1779,1862,65.93894482355965
1779,1908,76.1281813785145
1779,1952,69.07187279284608
1780,1821,185.04413887862898
1780,1822,179.87433885292748
1781,1822,45.993060391843436
1781,1865,5.179165296638739
1781,1866,112.71938941241167
1781,1909,140.74921043006384
1781,1999,164.493984710436
1781,2041,166.5129246720513
1782,1823,78.71259252636914
1782,1867,56.91074883827601
1782,1911,6.701989754294363
1783,1824,194.71790492915642
1783,1825,181.23381153759485
1784,1826,69.14879287128267
1784,1870,18.318365101722367
1784,1871,3.7267799624996423
1785,1872,25.86537797477118
1785,1873,98.56919312510037
1786,1787,140.0230139814325
1786,1828,139.96309037266454
1786,1876,60.0532832191282
1786,1920,21.638443156156637
1787,1828,2.236067977499798
1787,1829,66.59016443890194
1787,1788,23.55593815202916
1788,1829,67.50258431266829
1788,1877,112.3986654725046
1788,1921,29.77347813071223
1788,1922,131.35761302642493
1789,1830,56.28586648024616
1789,1831,15.369522511198001
1790,1832,41.85737688866803
1790,1791,48.511808413576546
1790,1879,9.62236977048793
1790,1833,9.617331294308718
1791,1833,57.90895191607375
1791,1792,36.48080164811197
1792,1833,21.689666494740333
1792,1793,15.987112865610776
1792,1880,73.66646116110098
1792,1925,53.86427387424805
1793,1880,59.15909575974866
1793,1881,79.92009898781546
1794,1834,36.04742246911237
1794,1882,11.017802653371596
1795,1836,188.5177592577303
1795,1837,9.405413630221455
1795,1884,205.91128078751672
1796,1837,192.157894061108
1796,1797,182.37287810051873
1796,1838,4.312771730569575
1796,1928,190.36669876845582
1797,1838,179.44637081869334
1797,1839,192.2619740527665
1798,1886,66.02216238450484
1798,1885,89.31527249711868
1798,1929,77.91104158740639
1798,1975,54.623317274983
1821,1862,18.407426037698308
1821,1863,21.738502708328372
1821,1822,7.1879528842825895
1821,1864,25.027207417351043
1822,1863,23.629225077809426
1822,1864,27.485854947995016
1822,1865,44.385129069764815
1823,1866,52.95784487055089
1823,1910,85.63457245762369
1823,1911,81.29787478430445
1823,1867,111.52595612183242
1824,1825,50.043383956101316
1824,1912,19.33888569695784
1824,1955,34.00918993448683
1825,1869,79.80341123313241
1825,1955,47.42677103821334
1825,2002,60.160087359570134
1825,1956,152.91997180805973
1826,1871,68.09878445643831
1826,1872,103.19506878830124
1826,1914,39.83437934470396
1826,1915,101.55403597209825
1826,1916,135.07891212176682
1827,1875,56.47565847336355
1828,1829,66.44233088425882
1828,1920,151.99451744498327
1828,1921,51.24490218548573
1828,1961,55.95633218064879
1829,1921,90.51102449732605
1830,1831,46.8285551800065
1830,1878,49.3451718778476
1830,1924,146.61541612979713
1830,1962,19.268249326256026
1830,1963,163.229085401431
1830,2057,139.76615445843376
1830,2058,166.8698233659369
1831,1924,187.65526904406389
1832,1879,51.34280215700476
1832,1964,35.4902803595576
1833,1879,1.4051653980647063
1833,1925,74.52411379825303
1833,1965,2.7355837342963856
1833,1966,21.24498740399529
1834,1835,72.77610261006775
1834,1882,25.429884237756156
1834,1883,93.33495162287514
1834,1971,25.966859220509857
1834,1972,17.4052993207369
1835,1883,34.88149581081637
1836,1884,17.478272225823694
1836,1883,56.86922498153109
1836,1973,95.65224775194778
1836,2012,137.62568397246528
1837,1884,206.5907942043885
1837,1928,40.35438328112573
1837,1974,195.24248633999267
1838,1839,17.0
1838,1885,10.092076099594177
1838,1928,186.82376722462269
1839,1885,14.382280764885648
1861,1951,73.03552703045813
1861,1952,88.23800288459175
1861,1997,20.06452177385759
1862,1908,15.121728296285017
1862,1863,14.99374869737385
1863,1908,5.565893159832179
1863,1864,5.833928541062375
1863,1953,39.050872759329025
1864,1865,55.137238590312805
1864,1953,38.23828055461232
1864,1998,65.71204016177113
1865,1998,12.580597305828872
1865,2041,170.507737570553
1865,2088,136.40237220392154
1866,1909,47.709188493063536
1866,1910,95.61757160689662
1866,1954,9.146948489341487
1867,1868,190.88296297877284
1867,1911,52.07393248492422
1867,2000,45.43771158906465
1868,1912,191.10617177079575
1868,2000,188.80274537223244
1868,2001,195.63817892260752
1869,1870,56.03126359453266
1869,1956,75.15158015637464
1869,2002,37.78974728679725
1870,1913,34.33658800041442
1870,1871,19.936182906687254
1870,1956,31.52780518843645
