node,R,G,B
2043,1.6666666666666667,254.5,5.666666666666667
2044,28.0,229.5,60.5
2045,0.0,94.0,81.4
2046,7.6,250.8,255.0
2047,6.0,252.4,255.0
2048,37.333333333333336,236.0,252.0
2049,0.0,87.5,112.5
2050,42.5,215.5,99.5
2051,2.6666666666666665,87.66666666666667,127.33333333333333
2052,8.5,78.5,134.5
2053,4.75,82.5,126.5
2054,34.25,237.5,254.5
2055,13.0,132.75,163.75
2056,9.142857142857142,106.0,152.71428571428572
2057,19.25,156.0,86.5
2058,11.307692307692308,195.69230769230768,49.23076923076923
2059,2.0,253.25,0.75
2060,0.75,254.5,0.25
2061,6.25,249.75,12.5
2062,35.0,222.5,79.0
2063,40.0,219.0,240.11111111111111
2064,0.0,106.5,52.5
2065,10.75,130.0,160.75
2066,25.333333333333332,170.22222222222223,80.33333333333333
2067,36.75,128.75,57.25
2068,13.0,58.0,49.714285714285715
2088,23.0,237.0,48.5
2089,9.0,247.0,19.0
2090,0.6666666666666666,80.33333333333333,135.66666666666666
2091,10.8,127.2,160.6
2092,38.25,237.0,255.0
2093,0.0,94.0,140.5
2094,2.4285714285714284,84.71428571428571,135.0
2095,0.0,105.33333333333333,74.0
2096,0.0,84.0,135.0
2097,31.0,228.0,69.5
2098,17.5,236.0,42.0
2099,13.428571428571429,242.85714285714286,31.714285714285715
2100,1.0,94.66666666666667,83.0
2101,0.0,93.25,133.75
2102,7.5,138.75,51.0
2103,34.666666666666664,221.33333333333334,78.33333333333333
2104,7.8,248.6,17.4
2105,36.0,222.66666666666666,77.0
2106,26.0,242.0,253.0
2107,0.0,103.5,108.5
2126,23.75,80.33333333333333,82.66666666666667
2127,2.2,81.2,131.0
2128,18.833333333333332,87.16666666666667,132.91666666666666
2129,12.0,243.25,29.25
2130,0.5714285714285714,254.0,5.0
2131,0.16666666666666666,254.66666666666666,1.3333333333333333
2132,2.25,254.0,0.0
2133,15.117647058823529,108.41176470588235,97.70588235294117
2134,16.0,69.4,134.0
2135,2.7142857142857144,251.14285714285714,9.714285714285714
2136,28.0,231.0,58.5
2137,9.25,250.25,254.75
2138,2.0,254.5,255.0
2139,12.5,248.75,255.0
2140,0.0,108.33333333333333,121.66666666666667
2141,23.0,244.83333333333334,247.16666666666666
2142,18.25,247.25,251.25
2143,18.0,245.25,254.0
2144,31.0,238.5,255.0
2145,37.0,236.42857142857142,254.71428571428572
2146,19.0,220.83333333333334,233.16666666666666
